"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_postgresql_run1.csv 1",,,,"Date:","23 Jul 2026 14:16:51 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
23-07 14:17:16,10.875,1.250,87.004,0.500,0,9931264,46555116,696324,7413580,0,75567.196,0,701.030,0,0
23-07 14:17:17,10.875,1.250,87.496,0.500,0,9931668,46506252,696340,7460780,0,76088.895,0,708.971,0,0
23-07 14:17:18,10.876,1.250,87.004,0.500,0,9931268,46458204,696360,7507928,0,76083.688,0,707.034,0,0
23-07 14:17:19,11.251,1.000,87.508,0.500,0,9931548,46409808,696376,7554800,0,75478.530,0,703.061,0,0
23-07 14:17:20,10.250,1.500,85.377,2.500,0,9931256,46378984,696548,7584800,0,383544.568,0,3308.074,0,0
23-07 14:17:21,11.625,1.125,86.998,0.375,0,9931028,46364232,696572,7599416,0,43686.882,0,457.988,0,0
23-07 14:17:22,10.625,1.375,87.254,0.375,0,9930992,46349248,696572,7613960,0,43762.059,0,455.021,0,0
23-07 14:17:23,11.000,1.250,87.372,0.375,0,9930828,46334440,696572,7628456,0,43870.553,0,451.985,0,0
23-07 14:17:24,11.250,1.125,86.877,0.250,0,9930792,46319400,696572,7643140,0,43917.234,0,453.013,0,0
23-07 14:17:25,11.500,1.500,86.624,0.375,0,9930500,46304608,696572,7657812,0,44215.398,0,451.994,0,0
23-07 14:17:26,10.750,2.000,85.750,1.375,0,9930176,46290472,696576,7671876,0,229407.904,0,1939.999,76.000,90.000
23-07 14:17:27,11.000,1.625,86.624,0.375,0,9928932,46276488,696576,7686700,0,44015.691,0,452.997,0,0
23-07 14:17:28,11.375,1.375,86.751,0.250,0,9929068,46261736,696576,7701132,0,43608.584,0,444.006,0,0
23-07 14:17:29,11.625,1.125,86.625,0.375,0,9928560,46246892,696576,7715852,0,43923.806,0,453.998,0,0
23-07 14:17:30,11.125,1.375,86.499,0.375,0,9928732,46231948,696576,7730212,0,43919.646,0,451.996,0,0
23-07 14:17:31,11.375,1.250,86.749,0.375,0,9928496,46217200,696580,7744788,0,43839.569,0,447.996,28.000,42.000
23-07 14:17:32,11.125,1.500,86.626,0.250,0,9928660,46202080,696580,7759352,0,43832.438,0,448.004,0,0
23-07 14:17:33,11.125,1.250,86.622,0.375,0,9928440,46187348,696580,7773896,0,43406.461,0,446.984,0,0
23-07 14:17:34,11.125,1.500,85.877,0.375,0,9934252,46166524,696580,7788516,0,43753.080,0,450.011,0,0
23-07 14:17:35,7.750,1.875,78.871,11.499,0,9934628,46140848,696752,7812996,0,492284.585,0,4130.804,75.996,89.996
23-07 14:17:36,11.001,1.000,87.256,0.250,0,9932692,46127504,696752,7827844,0,43667.032,0,564.039,0,0
23-07 14:17:37,11.500,1.125,87.000,0.375,0,9932772,46112708,696756,7842164,0,45076.218,0,715.003,0,0
23-07 14:17:38,10.750,1.375,87.126,0.375,0,9932016,46098508,696756,7856708,0,43152.622,0,479.007,0,0
23-07 14:17:39,11.000,1.250,87.498,0.375,0,9931968,46083536,696756,7871300,0,43774.889,0,451.989,0,0
23-07 14:17:40,10.625,1.125,87.002,0.375,0,9931804,46068676,696756,7885932,0,43328.777,0,444.008,0,0
23-07 14:17:41,10.875,1.250,87.374,0.250,0,9932028,46053436,696760,7900524,0,43295.635,0,446.996,0,0
23-07 14:17:42,10.625,1.375,87.251,0.375,0,9932096,46038312,696760,7915188,0,43664.293,0,449.003,76.001,90.001
23-07 14:17:43,12.374,3.250,82.744,0,0,9953360,46016144,696760,7916352,0,6183.525,0,88.993,91.993,429.967
23-07 14:17:44,7.249,3.750,86.743,0,0,9951352,46017384,696760,7916972,0,3103.746,0,200.984,0,0
23-07 14:17:45,7.375,3.875,86.376,0.125,0,9951444,46016892,696760,7917356,0,1168.017,0,138.002,0,0
23-07 14:17:46,7.750,3.375,86.628,0,0,9949636,46018348,696764,7917700,0,592.017,0,66.002,0,0
23-07 14:17:47,7.500,3.875,86.373,0,0,9948432,46019116,696764,7918124,0,0,0,0,0,0
23-07 14:17:48,7.375,3.750,86.875,0,0,9948296,46018864,696764,7918504,0,0,0,0,0,0
23-07 14:17:49,7.750,3.375,86.500,0,0,9948408,46018360,696764,7918884,0,92.000,0,21.000,0,0
23-07 14:17:50,7.250,3.500,86.748,0,0,9948284,46018108,696764,7919252,0,0,0,0,0,0
23-07 14:17:51,7.750,3.750,86.375,0,0,9948356,46017856,696768,7919428,0,40.000,0,3.000,0,0
23-07 14:17:52,7.001,3.875,86.631,0,0,9948032,46017856,696768,7919752,0,0,0,0,0,0
23-07 14:17:53,8.625,3.125,86.254,0,0,9945688,46017856,696768,7922012,0,0,0,0,0,0
23-07 14:17:54,8.125,3.875,85.502,0,0,9942388,46017856,696768,7925224,0,0,0,0,0,0
23-07 14:17:55,7.750,4.000,85.500,0,0,9938740,46017856,696768,7928772,0,0,0,0,0,0
23-07 14:17:56,8.250,4.125,84.122,0.625,0,9936192,46016876,696768,7932216,0,218347.752,0,2746.896,0,0
23-07 14:17:57,7.875,3.750,85.503,0,0,9938164,46011344,696768,7935672,0,0,0,0,0,0
23-07 14:17:58,7.875,3.875,85.498,0,0,9938224,46008068,696768,7938808,0,0,0,0,75.998,89.998
23-07 14:17:59,8.125,3.625,85.503,0,0,9937484,46005044,696768,7942464,0,16.001,0,3.000,0,0
23-07 14:18:00,8.125,4.000,85.372,0,0,9934752,46004288,696768,7945868,0,0,0,0,0,0
23-07 14:18:01,7.875,3.875,85.374,0,0,9931480,46004288,696772,7949040,0,55.999,0,3.000,0,0
23-07 14:18:02,7.625,3.875,85.625,0,0,9928216,46004036,696772,7952508,0,0,0,0,0,0
23-07 14:18:03,8.499,2.875,86.492,0,0,9926940,46004036,696772,7953688,0,0,0,0,27.997,41.996
23-07 14:18:04,8.125,3.375,86.622,0,0,9926808,46003784,696772,7954064,0,0,0,0,0,0
23-07 14:18:05,7.876,3.500,86.508,0,0,9926424,46003784,696772,7954440,0,0,0,0,0,0
23-07 14:18:06,7.749,3.625,86.744,0,0,9926540,46003280,696772,7954824,0,0,0,0,0,0
23-07 14:18:07,7.875,3.125,86.624,0,0,9926656,46002776,696776,7955196,0,20.000,0,2.000,0,0
23-07 14:18:08,7.750,3.375,86.499,0,0,9926860,46002272,696776,7955488,0,8.000,0,1.000,0,0
23-07 14:18:09,7.625,3.625,86.627,0,0,9927056,46001768,696776,7955788,0,0,0,0,0,0
23-07 14:18:10,7.500,3.625,86.754,0,0,9927224,46001192,696776,7956196,0,8.000,0,2.000,0,0
23-07 14:18:11,7.875,3.625,86.496,0,0,9934876,45992984,696776,7956732,0,0,0,0,0,0
23-07 14:18:12,7.375,3.750,86.750,0,0,9934860,45992732,696776,7956996,0,0,0,0,0,0
