"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_mysql_run1.csv 1",,,,"Date:","23 Jul 2026 14:09:02 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
23-07 14:09:24,0,0,99.876,0,0,9662272,49376864,137552,5357464,0,0,0,0,0,0
23-07 14:09:25,0,0.125,99.875,0,0,9662272,49376864,137552,5357464,0,4.000,0,1.000,0,0
23-07 14:09:26,0,0,99.872,0.125,0,9662268,49376864,137552,5357464,0,3607.904,0,32.999,0,0
23-07 14:09:27,0,0,99.876,0,0,9662268,49376864,137552,5357464,0,60.001,0,10.000,0,0
23-07 14:09:28,0.125,0,99.876,0.125,0,9661900,49377232,137552,5357464,0,7596.054,0,53.000,0,0
23-07 14:09:29,0.125,0,100.000,0,0,9661900,49377232,137552,5357464,0,0,0,0,0,0
23-07 14:09:30,0,0,99.875,0,0.125,9661900,49377232,137552,5357464,0,0,0,0,0,0
23-07 14:09:31,0,0.125,99.747,0,0,9661892,49377232,137560,5357464,0,23.999,0,2.000,0,0
23-07 14:09:32,0,0,99.753,0,0,9661892,49377232,137560,5357464,0,0,0,0,0,0
23-07 14:09:33,0,0,99.749,0,0,9661892,49377232,137560,5357464,0,4.000,0,1.000,0,0
23-07 14:09:34,0.125,0.125,99.876,0,0,9662312,49376812,137560,5357464,0,0,0,0,0,0
23-07 14:09:35,0,0,99.875,0,0,9662312,49376812,137560,5357464,0,0,0,0,0,0
23-07 14:09:36,0,0,99.873,0,0,9662312,49376812,137560,5357464,0,0,0,0,0,0
23-07 14:09:37,0,0.125,99.752,0,0,9662312,49376812,137560,5357464,0,0,0,0,0,0
23-07 14:09:38,0.125,0,99.998,0,0,9662312,49376812,137560,5357464,0,0,0,0,75.999,89.998
23-07 14:09:39,0,0,99.876,0,0,9662056,49377068,137560,5357464,0,0,0,0,0,0
23-07 14:09:40,0.125,0,99.999,0,0,9662056,49377068,137560,5357464,0,0,0,0,0,0
23-07 14:09:41,0,0,99.875,0,0,9662056,49377068,137560,5357464,0,0,0,0,0,0
23-07 14:09:42,0,0.125,99.877,0,0,9662056,49377068,137560,5357464,0,0,0,0,0,0
23-07 14:09:43,0,0,99.873,0,0,9662052,49377068,137560,5357468,0,0,0,0,28.000,41.999
23-07 14:09:44,0,0,100.001,0,0,9662052,49377068,137560,5357468,0,0,0,0,0,0
23-07 14:09:45,0,0,99.750,0,0,9662052,49377068,137560,5357468,0,0,0,0,0,0
23-07 14:09:46,0,0.125,99.874,0,0,9662052,49377068,137560,5357468,0,0,0,0,0,0
23-07 14:09:47,0,0,99.876,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:48,0,0,99.874,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:49,0,0,100.000,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:50,0.250,0,99.624,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:51,0,0.125,100.000,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:52,0,0,99.751,0,0,9662048,49377068,137560,5357472,0,0,0,0,28.000,42.001
23-07 14:09:53,0,0,99.874,0,0,9662048,49377068,137560,5357472,0,0,0,0,0,0
23-07 14:09:54,0,0,100.000,0,0,9661996,49377120,137560,5357472,0,0,0,0,76.000,90.000
23-07 14:09:55,0,0,99.873,0,0,9661672,49377444,137560,5357472,0,0,0,0,0,0
23-07 14:09:56,0.125,0,100.001,0.125,0,9661360,49377716,137564,5357504,0,68.001,0,3.000,0,0
23-07 14:09:57,0,0,99.750,0,0,9661360,49377716,137564,5357504,0,0,0,0,0,0
23-07 14:09:58,0,0.250,99.876,0,0,9661360,49377716,137564,5357504,0,0,0,0,0,0
23-07 14:09:59,0.125,0,99.500,0,0,9661360,49377716,137564,5357504,0,140.000,0,31.000,0,0
23-07 14:10:00,0,0,100.000,0,0.125,9661360,49377716,137564,5357504,0,0,0,0,0,0
23-07 14:10:01,0,0.125,99.749,0,0,9661360,49377716,137564,5357504,0,4.000,0,1.000,0,0
23-07 14:10:02,0.125,0,99.875,0,0,9661360,49377716,137568,5357500,0,36.000,0,5.000,0,0
23-07 14:10:03,0,0,99.871,0,0,9661108,49377960,137568,5357516,0,43.998,0,7.000,75.997,89.997
23-07 14:10:04,0,0.125,99.750,0,0,9660852,49378216,137568,5357508,0,16.000,0,4.000,0,0
23-07 14:10:05,0.125,0.125,100.004,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:06,0,0,99.750,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:07,0,0.125,99.877,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:08,0,0,99.873,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:09,0.125,0,99.876,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:10,0.125,0,99.875,0,0,9660852,49378216,137568,5357508,0,0,0,0,76.000,90.000
23-07 14:10:11,0,0,99.874,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:12,0,0,99.751,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:13,0,0,100.000,0,0,9660852,49378216,137568,5357508,0,0,0,0,0,0
23-07 14:10:14,0.250,0,99.876,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:15,0,0.125,99.875,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:16,0,0,99.874,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:17,0,0,99.877,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:18,0,0,99.874,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:19,0,0,100.000,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:20,0,0,99.625,0,0,9661248,49377820,137568,5357508,0,0,0,0,0,0
23-07 14:10:21,0,0,99.998,0,0,9661488,49377580,137568,5357508,0,0,0,0,0,0
23-07 14:10:22,0,0,99.877,0,0,9661488,49377580,137568,5357508,0,0,0,0,0,0
23-07 14:10:23,0,0,99.875,0,0,9661488,49377580,137568,5357508,0,0,0,0,0,0
23-07 14:10:24,0,0.125,99.875,0,0,9661488,49377580,137568,5357508,0,0,0,0,0,0
23-07 14:10:25,0.125,0,100.000,0,0,9661488,49377580,137568,5357508,0,0,0,0,0,0
23-07 14:10:26,0.250,0,99.875,0,0,9661488,49377580,137568,5357508,0,36.000,0,1.000,76.000,90.000
23-07 14:10:27,0,0.125,99.626,0,0,9661236,49377832,137568,5357508,0,0,0,0,0,0
23-07 14:10:28,0,0,100.000,0,0,9661464,49377604,137568,5357508,0,0,0,0,0,0
23-07 14:10:29,0,0,99.875,0,0,9661208,49377860,137568,5357508,0,0,0,0,0,0
23-07 14:10:30,0,0,100.001,0,0,9661208,49377860,137568,5357508,0,0,0,0,0,0
23-07 14:10:31,0,0.125,99.747,0,0,9661208,49377860,137568,5357508,0,0,0,0,0,0
23-07 14:10:32,0,0,99.875,0,0,9661208,49377860,137568,5357508,0,0,0,0,28.000,42.000
23-07 14:10:33,0,0,99.751,0,0,9660816,49378252,137568,5357508,0,1668.017,0,12.000,0,0
23-07 14:10:34,0,0,99.875,0,0,9660816,49378252,137568,5357508,0,132.000,0,18.000,0,0
23-07 14:10:35,0,0.125,99.750,0,0,9660812,49378252,137568,5357512,0,0,0,0,0,0
23-07 14:10:36,0,0,99.876,0,0,9660808,49378252,137568,5357516,0,8.000,0,1.000,0,0
23-07 14:10:37,0,0,99.876,0,0,9660808,49378252,137568,5357516,0,0,0,0,0,0
23-07 14:10:38,0,0,99.874,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:39,0,0,99.876,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:40,0.125,0.125,99.999,0,0,9660804,49378252,137568,5357520,0,8.000,0,2.000,0,0
23-07 14:10:41,0.125,0,99.874,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:42,0,0,99.751,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:43,0,0,99.874,0,0,9660804,49378252,137568,5357520,0,0,0,0,75.999,89.999
23-07 14:10:44,0,0.125,99.877,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:45,0,0,100.000,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:46,0,0,99.750,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:47,0.250,0.250,99.980,0,0,9660804,49378252,137568,5357520,0,0,0,0,0,0
23-07 14:10:48,0,0,99.883,0,0,9660964,49378092,137568,5357520,0,0,0,0,0,0
23-07 14:10:49,0,0,99.872,0,0,9660964,49378092,137568,5357520,0,0,0,0,0,0
23-07 14:10:50,0.125,0,99.751,0,0,9660964,49378092,137568,5357520,0,0,0,0,0,0
23-07 14:10:51,0,0,99.988,0,0,9660964,49378092,137568,5357520,0,0,0,0,0,0
23-07 14:10:52,0,0.125,99.883,0,0,9660708,49378348,137568,5357520,0,4.000,0,1.000,0,0
23-07 14:10:53,0,0,99.748,0,0,9660708,49378348,137568,5357520,0,0,0,0,28.000,41.999
23-07 14:10:54,0,0,99.877,0,0,9661212,49377844,137568,5357520,0,0,0,0,0,0
23-07 14:10:55,0.125,0,99.635,0,0,9661212,49377844,137568,5357520,0,0,0,0,0,0
23-07 14:10:56,0,0.125,99.877,0,0,9661180,49377844,137568,5357552,0,0,0,0,0,0
23-07 14:10:57,0.125,0,99.879,0,0,9661180,49377844,137568,5357552,0,0,0,0,0,0
23-07 14:10:58,0,0,99.875,0,0,9661180,49377844,137576,5357544,0,16.000,0,3.000,0,0
23-07 14:10:59,0,0,99.999,0,0,9661148,49377844,137600,5357552,0,423.995,0,19.000,75.999,89.999
23-07 14:11:00,0,0,99.876,0,0,9661148,49377844,137600,5357552,0,0,0,0,0,0
23-07 14:11:01,0.125,0,99.874,0,0,9661148,49377844,137600,5357552,0,0,0,0,0,0
23-07 14:11:02,0.125,0,99.625,0,0,9661308,49377684,137600,5357552,0,0,0,0,0,0
23-07 14:11:03,0,0.125,99.876,0,0,9661308,49377684,137600,5357552,0,0,0,0,0,0
23-07 14:11:04,0,0,99.751,0,0,9661300,49377684,137608,5357552,0,52.000,0,2.000,0,0
23-07 14:11:05,0,0,100.000,0,0,9661300,49377684,137608,5357552,0,8.000,0,1.000,0,0
23-07 14:11:06,0,0,99.875,0,0,9661300,49377684,137608,5357552,0,0,0,0,0,0
23-07 14:11:07,0,0,99.999,0,0,9661300,49377684,137608,5357552,0,0,0,0,75.999,89.999
23-07 14:11:08,0,0.125,99.983,0,0,9661300,49377684,137608,5357552,0,0,0,0,0,0
23-07 14:11:09,0.125,0,99.626,0,0,9661300,49377684,137608,5357552,0,0,0,0,0,0
23-07 14:11:10,0,0,99.877,0,0,9661044,49377940,137608,5357552,0,0,0,0,0,0
23-07 14:11:11,0,0,99.870,0,0,9661044,49377940,137608,5357552,0,0,0,0,0,0
23-07 14:11:12,0.125,0,99.876,0,0,9661044,49377940,137608,5357552,0,0,0,0,0,0
23-07 14:11:13,0.250,0,100.004,0,0,9661044,49377940,137608,5357552,0,0,0,0,0,0
23-07 14:11:14,0,0,99.759,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:15,0,0.125,99.753,0,0,9661264,49377720,137608,5357552,0,4.000,0,1.000,76.002,90.003
23-07 14:11:16,0,0,99.877,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:17,0,0,99.751,0,0,9661264,49377720,137608,5357552,0,4.000,0,1.000,0,0
23-07 14:11:18,0,0.125,99.873,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:19,0,0,99.877,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:20,0.125,0,100.000,0,0,9661264,49377720,137608,5357552,0,0,0,0,28.000,42.000
23-07 14:11:21,0.125,0,99.997,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:22,0,0,99.878,0,0,9661264,49377720,137608,5357552,0,0,0,0,0,0
23-07 14:11:23,0.125,0.125,99.748,0,0,9661512,49377468,137608,5357556,0,0,0,0,8212.839,5914.884
23-07 14:11:24,0,0,99.751,0,0,9661512,49377468,137608,5357556,0,0,0,0,0,0
23-07 14:11:25,0.125,0,99.876,0,0,9661512,49377468,137608,5357556,0,0,0,0,0,0
23-07 14:11:26,0,0,99.998,0,0,9661512,49377468,137608,5357556,0,35.999,0,1.000,0,0
23-07 14:11:27,0,0,99.865,0,0,9661508,49377468,137608,5357560,0,0,0,0,0,0
23-07 14:11:28,0,0,99.881,0,0,9661508,49377468,137608,5357560,0,0,0,0,0,0
23-07 14:11:29,0,0.125,99.880,0,0,9661508,49377468,137608,5357560,0,12.001,0,2.000,0,0
23-07 14:11:30,0,0,99.752,0,0,9661504,49377468,137608,5357564,0,0,0,0,0,0
23-07 14:11:31,0,0,99.996,0,0,9661504,49377468,137608,5357564,0,0,0,0,75.997,89.996
23-07 14:11:32,0.125,0,99.753,0,0,9661504,49377468,137608,5357564,0,0,0,0,0,0
23-07 14:11:33,0,0.125,100.000,0,0,9661504,49377468,137608,5357564,0,0,0,0,0,0
23-07 14:11:34,0,0,99.750,0,0,9661756,49377216,137608,5357564,0,0,0,0,0,0
23-07 14:11:35,0,0,100.001,0,0,9661752,49377216,137612,5357564,0,72.001,0,2.000,0,0
23-07 14:11:36,0,0,99.624,0,0,9661752,49377216,137612,5357564,0,71.999,0,16.000,0,0
23-07 14:11:37,0.125,0.250,99.877,0,0,9661752,49377216,137612,5357564,0,0,0,0,0,0
23-07 14:11:38,0,0,99.874,0,0,9661752,49377216,137612,5357564,0,0,0,0,0,0
23-07 14:11:39,0,0,100.000,0,0,9661752,49377216,137612,5357564,0,0,0,0,0,0
23-07 14:11:40,0,0,99.874,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:41,0,0,99.624,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:42,0,0,99.878,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:43,0.250,0.125,100.000,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:44,0,0,99.875,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:45,0,0,99.999,0,0,9661992,49376976,137612,5357564,0,0,0,0,0,0
23-07 14:11:46,0,0.125,100.000,0,0,9661992,49376976,137612,5357564,0,8.000,0,2.000,0,0
23-07 14:11:47,0,0.125,99.876,0,0,9661992,49376976,137612,5357564,0,0,0,0,76.000,90.001
23-07 14:11:48,0,0.125,99.749,0,0,9661992,49376976,137612,5357564,0,0,0,0,1611.990,1853.988
23-07 14:11:49,0,0,99.875,0,0,9661992,49376976,137612,5357564,0,0,0,0,3666.013,2942.010
23-07 14:11:50,0.125,0,99.749,0,0,9661992,49376976,137612,5357564,0,0,0,0,2967.978,3347.975
23-07 14:11:51,0.625,0,99.370,0,0,9661788,49376976,137620,5357756,0,11.999,0,2.000,3685.819,3041.850
23-07 14:11:52,0,0,99.752,0,0,9661788,49376976,137620,5357756,0,4.000,0,1.000,1970.047,1620.038
23-07 14:11:53,0.125,0,99.867,0,0,9661464,49377300,137620,5357756,0,1379.890,0,10.999,51.996,65.995
23-07 14:11:54,0,0.125,99.742,0,0,9660936,49377828,137620,5357756,0,0,0,0,3333.746,3035.768
23-07 14:11:55,0.375,0.250,99.007,0.125,0,9663552,49375108,137708,5357760,0,360.026,0,39.003,4107.300,4126.301
23-07 14:11:56,0,0,99.615,0,0,9663516,49375108,137708,5357796,0,0,0,0,2981.714,2879.724
23-07 14:11:57,0,0,99.874,0,0,9663516,49375108,137708,5357796,0,4.000,0,1.000,1433.992,1433.992
23-07 14:11:58,0.250,0.125,100.002,0,0,9663516,49375108,137708,5357796,0,0,0,0,1802.042,2174.050
23-07 14:11:59,0,0.125,99.750,0,0,9663516,49375108,137708,5357796,0,0,0,0,2658.013,3180.016
23-07 14:12:00,0,0,99.875,0,0,9663516,49375108,137716,5357788,0,76.000,0,3.000,2355.993,2645.992
23-07 14:12:01,0,0,99.636,0,0,9663396,49375360,137716,5357656,0,0,0,0,3226.352,3702.404
23-07 14:12:02,0,0,99.880,0,0,9663396,49375360,137716,5357656,0,0,0,0,2806.147,3248.170
23-07 14:12:03,0,0,99.877,0,0,9663396,49375360,137716,5357656,0,0,0,0,3068.048,3060.048
23-07 14:12:04,0.125,0,99.876,0,0,9663396,49375360,137716,5357656,0,0,0,0,2760.022,3240.026
23-07 14:12:05,0,0,100.000,0,0,9663396,49375360,137716,5357656,0,0,0,0,2559.991,2977.989
23-07 14:12:06,0.125,0,99.876,0,0,9663396,49375360,137716,5357656,0,0,0,0,2636.013,3060.015
23-07 14:12:07,0,0,99.625,0,0,9663396,49375360,137716,5357656,0,0,0,0,2560.009,2978.010
23-07 14:12:08,0.125,0.125,99.745,0,0,9663720,49375036,137716,5357656,0,0,0,0,2728.876,3325.849
23-07 14:12:09,0.125,0,99.627,0.125,0,9664252,49374452,137764,5357648,0,196.004,0,19.000,2950.061,3230.067
23-07 14:12:10,2.625,3.749,93.484,0.250,0,9695124,49342496,138804,5357660,79.987,16301.261,4.999,382.936,1947.673,1979.667
23-07 14:12:11,0,0,99.633,0,0,9693580,49343956,138884,5357660,0,240.020,0,20.002,0,0
23-07 14:12:12,0,0,99.882,0,0,9692240,49345296,138884,5357660,0,4.000,0,1.000,76.005,90.006
23-07 14:12:13,0.125,0,99.749,0,0,9693796,49343676,138948,5357660,0,1519.977,0,67.999,0,0
23-07 14:12:14,0,0,100.004,0,0,9692116,49345328,138972,5357664,0,72.003,0,9.000,0,0


"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_mysql_run1.csv 1",,,,"Date:","23 Jul 2026 14:12:15 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","dsk/total:read","dsk/total:writ","read","writ","net/total:recv","net/total:send"
23-07 14:12:15,,9714192,49323252,138980,5357656,,,,
23-07 14:12:15,1.125,0.500,98.376,0,0,9714476,49322964,138980,5357660,0,16.000,0,3.000,0,1052.012
23-07 14:12:16,0,0,99.744,0,0,9710416,49326984,139012,5357668,0,87.995,0,11.999,137.992,0
23-07 14:12:16,0,0,99.875,0,0,9710416,49326984,139012,5357668,0,88.000,0,12.000,138.000,0
23-07 14:12:17,0,0,99.876,0,0,9706816,49330580,139016,5357668,0,8.000,0,1.000,0,0
23-07 14:12:17,0,0,99.750,0,0,9706816,49330580,139016,5357668,0,8.000,0,1.000,0,0
23-07 14:12:18,0,0.125,99.876,0,0,9703672,49333724,139016,5357668,0,0,0,0,0,0
23-07 14:12:18,0,0.125,99.751,0,0,9703672,49333724,139016,5357668,0,0,0,0,0,0
23-07 14:12:19,0,0,99.876,0,0,9700920,49336476,139016,5357668,0,0,0,0,76.001,90.001
23-07 14:12:19,0.125,0,99.751,0,0,9700920,49336476,139016,5357668,0,0,0,0,76.001,90.001
23-07 14:12:20,0.125,0,99.874,0,0,9698512,49338884,139016,5357668,0,0,0,0,0,0
23-07 14:12:20,0,0,99.875,0,0,9698512,49338884,139016,5357668,0,0,0,0,0,0
23-07 14:12:21,0,0,99.623,0,0,9697400,49339996,139016,5357668,0,0,0,0,0,0
23-07 14:12:21,0.125,0,99.874,0,0,9697400,49339996,139016,5357668,0,0,0,0,0,0
23-07 14:12:22,0.125,0,99.753,0,0,9697400,49339996,139016,5357668,0,72.002,0,10.000,0,0
23-07 14:12:22,0,0,99.752,0,0,9697400,49339996,139016,5357668,0,72.001,0,10.000,0,0
23-07 14:12:23,0,0,99.750,0,0,9697400,49339996,139016,5357668,0,0,0,0,180.000,222.000
23-07 14:12:23,0,0,99.999,0,0,9697400,49339996,139016,5357668,0,0,0,0,179.998,221.998
23-07 14:12:24,0.125,0,99.999,0,0,9694408,49342988,139016,5357668,0,0,0,0,0,0
23-07 14:12:24,0.125,0,99.625,0,0,9694408,49342988,139016,5357668,0,0,0,0,0,0
23-07 14:12:25,0,0.125,99.751,0,0,9692208,49345188,139016,5357668,0,92.001,0,2.000,0,0
23-07 14:12:25,0,0.125,100.000,0,0,9692208,49345188,139016,5357668,0,92.000,0,2.000,0,0
23-07 14:12:26,0,0,100.001,0.125,0,9692208,49345188,139016,5357668,0,4764.029,0,36.000,0,0
23-07 14:12:26,0,0,99.750,0.125,0,9692208,49345188,139016,5357668,0,4763.980,0,36.000,0,0
23-07 14:12:27,0.125,0,99.751,0,0,9692208,49345188,139016,5357668,0,64.001,0,16.000,0,0
23-07 14:12:27,0.125,0,99.876,0,0,9692208,49345188,139016,5357668,0,64.001,0,16.000,0,0
23-07 14:12:28,0,0,100.000,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:28,0,0,99.750,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:29,0,0,99.875,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:29,0.125,0,99.875,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:30,0.125,0,99.751,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:30,0,0,99.875,0,0,9692208,49345188,139016,5357668,0,0,0,0,0,0
23-07 14:12:31,0,0,99.747,0,0,9691196,49346200,139016,5357668,0,0,0,0,0,0
23-07 14:12:31,0,0,99.999,0,0,9691196,49346200,139016,5357668,0,0,0,0,0,0
23-07 14:12:32,0,0,99.878,0,0,9691228,49346168,139016,5357668,0,0,0,0,0,0
23-07 14:12:32,0,0,99.876,0,0,9691228,49346168,139016,5357668,0,0,0,0,0,0
23-07 14:12:33,0,0,99.749,0,0,9689920,49347476,139016,5357668,0,0,0,0,0,0
23-07 14:12:33,0,0,99.999,0,0,9689920,49347476,139016,5357668,0,0,0,0,0,0
23-07 14:12:34,0.125,0,99.997,0,0,9690172,49347224,139016,5357668,0,0,0,0,0,0
23-07 14:12:34,0.125,0,99.500,0,0,9690172,49347224,139016,5357668,0,0,0,0,0,0
23-07 14:12:35,0,0,99.878,0,0,9690172,49347224,139016,5357668,0,0,0,0,76.003,90.003
23-07 14:12:35,0,0,99.875,0,0,9690172,49347224,139016,5357668,0,0,0,0,76.000,90.000
23-07 14:12:36,0,0,99.875,0,0,9689916,49347480,139016,5357668,0,4.000,0,1.000,0,0
23-07 14:12:36,0,0,100.000,0,0,9689916,49347480,139016,5357668,0,4.000,0,1.000,0,0
23-07 14:12:37,0,0,99.751,0,0,9689916,49347480,139016,5357668,0,0,0,0,0,0
23-07 14:12:37,0,0,99.876,0,0,9689916,49347480,139016,5357668,0,0,0,0,0,0
23-07 14:12:38,0,0.125,99.875,0,0,9689916,49347480,139016,5357668,0,0,0,0,0,0
23-07 14:12:38,0,0.125,99.749,0,0,9689916,49347480,139016,5357668,0,0,0,0,0,0
23-07 14:12:39,0,0.125,100.001,0,0,9689656,49347736,139016,5357672,0,0,0,0,0,0
23-07 14:12:39,0.125,0.125,99.876,0,0,9689656,49347736,139016,5357672,0,0,0,0,0,0
23-07 14:12:40,0.125,0,99.874,0,0,9689400,49347992,139016,5357672,0,0,0,0,0,0
23-07 14:12:40,0,0,99.874,0,0,9689400,49347992,139016,5357672,0,0,0,0,0,0
23-07 14:12:41,0,0,99.874,0,0,9689632,49347752,139024,5357672,0,2287.969,0,32.000,0,0
23-07 14:12:41,0,0,99.875,0,0,9689632,49347752,139024,5357672,0,2288.002,0,32.000,0,0
23-07 14:12:42,0,0,99.627,0,0,9689872,49347512,139024,5357672,0,8.000,0,2.000,0,0
23-07 14:12:42,0,0,100.000,0,0,9689872,49347512,139024,5357672,0,8.000,0,2.000,0,0
23-07 14:12:43,0,0,99.874,0,0,9689872,49347512,139024,5357672,0,0,0,0,0,0
23-07 14:12:43,0,0,99.750,0,0,9689872,49347512,139024,5357672,0,0,0,0,0,0
23-07 14:12:44,0,0,99.876,0,0,9689872,49347512,139024,5357672,0,0,0,0,0,0
23-07 14:12:44,0,0,100.000,0,0,9689872,49347512,139024,5357672,0,0,0,0,0,0
23-07 14:12:45,0,0,100.000,0,0,9689872,49347512,139024,5357672,0,0,0,0,0,0
