"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ip-172-31-33-69",,,,"User:","ubuntu"
"Cmdline:","dstat --time --cpu --mem --disk --io --net --output telemetry_rocksdb_run1.csv 1",,,,"Date:","23 Jul 2026 14:05:22 UTC"
"system","total usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",
23-07 14:05:47,18.000,1.500,77.876,2.375,0,10115008,50203260,131804,4117760,0,40440.379,0,171.002,0,0
23-07 14:05:48,17.374,2.375,78.245,1.750,0,10102720,50223732,131820,4109824,0,110328.960,0,437.972,0,0
23-07 14:05:49,21.997,2.375,74.490,1.125,0,10099024,50028384,131824,4303652,0,65910.941,0,259.964,0,0
23-07 14:05:50,24.503,2.625,70.257,2.625,0,10182884,49652380,131824,4588280,0,120700.378,0,475.049,0,0
23-07 14:05:51,22.375,2.375,72.376,2.500,0,10424616,49498484,131844,4502804,0,121902.497,0,488.010,76.002,90.002
23-07 14:05:52,22.375,2.000,74.500,1.000,0,10421560,49325556,131852,4674260,0,65924.124,0,261.000,0,0
23-07 14:05:53,24.375,2.750,69.251,3.250,0,10698976,49031036,131872,4690976,0,176738.721,0,701.011,0,0
23-07 14:05:54,22.250,2.000,74.874,1.125,0,10678528,48957572,131872,4782264,0,65906.764,0,260.995,0,0
23-07 14:05:55,21.373,2.750,74.492,1.000,0,10666156,48908716,131880,4841924,0,65900.583,0,260.971,0,0
23-07 14:05:56,22.375,2.625,74.875,0,0,10647312,48863692,131880,4904232,0,0,0,0,0,0
23-07 14:05:57,16.500,3.375,74.626,5.125,0,10633220,48661412,131896,5114968,0,245346.445,0,982.010,0,0
23-07 14:05:58,11.125,2.000,84.999,2.000,0,10612724,49242920,131904,4568240,0,21991.816,0,94.999,0,0
23-07 14:05:59,11.250,1.625,87.251,0,0,10587012,49261252,131904,4575512,0,0,0,0,0,0
23-07 14:06:00,10.625,2.000,87.252,0,0,10562012,49278976,131904,4582600,0,0,0,0,0,0
23-07 14:06:01,10.874,1.875,87.119,0,0,10536124,49297732,131904,4589544,0,0,0,0,0,0
23-07 14:06:02,10.877,1.875,87.145,0,0,10508212,49318204,131904,4596684,0,0,0,0,0,0
23-07 14:06:03,11.001,1.875,87.004,0,0,10490432,49329184,131904,4603436,0,0,0,0,0,0
23-07 14:06:04,3.625,0.625,96.006,0,0,10472932,49344024,131904,4605876,0,0,0,0,0,0
23-07 14:06:05,10.875,0.250,88.623,0,0,10339364,49704312,131904,4384664,0,0,0,0,0,0
